State,Abbreviation,Total Population (2026),Mormon Population (2025),Proportion
Alabama,AL,5223121,40540,0.007762
Alaska,AK,738003,33948,0.046000
Arizona,AZ,7691212,442879,0.057582
Arkansas,AR,3133502,36630,0.011690
California,CA,39345844,728598,0.018518
Colorado,CO,6036620,149186,0.024713
Connecticut,CT,3702543,16030,0.004329
Delaware,DE,1069781,5736,0.005362
District of Columbia,DC,695980,3215,0.004620
Florida,FL,23659198,172918,0.007309
Georgia,GA,11401288,91142,0.007994
Hawaii,HI,1430688,75635,0.052866
Idaho,ID,2058594,476118,0.231283
Illinois,IL,12735249,57837,0.004542
Indiana,IN,7011912,47789,0.006815
Iowa,IA,3246320,29285,0.009021
Kansas,KS,2989188,39793,0.013312
Kentucky,KY,4629682,38535,0.008323
Louisiana,LA,4621500,29913,0.006473
Maine,ME,1421310,11233,0.007903
Maryland,MD,6285380,44094,0.007015
Massachusetts,MA,7169608,28667,0.004000
Michigan,MI,10155806,46044,0.004534
Minnesota,MN,5863405,33759,0.005758
Mississippi,MS,2958148,22297,0.007537
Missouri,MO,6297538,80440,0.012773
Montana,MT,1151831,52068,0.045205
Nebraska,NE,2030421,25935,0.012773
Nevada,NV,3310833,182786,0.055208
New Hampshire,NH,1422166,8553,0.006014
New Jersey,NJ,9590076,35453,0.003697
New Mexico,NM,2124222,69432,0.032686
New York,NY,20003435,87605,0.004380
North Carolina,NC,11343875,95875,0.008452
North Dakota,ND,805329,11682,0.014506
Ohio,OH,11940399,64595,0.005410
Oklahoma,OK,4148818,52844,0.012737
Oregon,OR,4281848,150170,0.035071
Pennsylvania,PA,13073016,53025,0.004056
Rhode Island,RI,1118627,4796,0.004287
South Carolina,SC,5650232,45810,0.008108
South Dakota,SD,943078,11601,0.012301
Tennessee,TN,7378861,59202,0.008023
Texas,TX,32101064,385600,0.012012
Utah,UT,3574825,2190610,0.612788
Vermont,VT,642805,4624,0.007193
Virginia,VA,8940572,98786,0.011049
Washington,WA,8074082,281802,0.034902
West Virginia,WV,1764892,17557,0.009948
Wisconsin,WI,5988406,28430,0.004748
Wyoming,WY,590784,67691,0.114578
